VideoId,Channelname,Duration,Category,No_views,No_comments,Rating
awVJCNMw1To,JessCLevengood,1004,Music,367,71376,4.83
FJETon8XRxY,ped666,490,Music,209,105878,4.71
3t8GdtYdRk0,HalfaZoul,675,Music,120,2657650,4.48
o5t3PwKccOo,EEntertainmentTV,447,Entertainment,200,140901,4.84
ype6Hw_Hmjo,25thNovember1970,1006,Music,306,14332,4.92
ylzerQfIMn4,mrpregnant,511,Comedy,240,92079,4.25
2sigtR16STI,mrpregnant,592,Comedy,202,174514,2.84
uAZ7Cop0t8U,mrpregnant,890,Comedy,144,30395,4.09
im7IorDZ9uY,mrpregnant,507,Comedy,294,442233,4.56
tVFUWgWyEtE,mrpregnant,0, UNA ,179,19624,4.26
GJZL0XVUnRE,mrpregnant,1102,Comedy,186,12615,4.39
O27r2zYVIhw,mrpregnant,0, UNA ,300,87835,3.53
ha0gjt-r2Tc,mrpregnant,509,Comedy,313,33427,4.55
bzVy77JZX9U,mrpregnant,1077,Comedy,256,126333,4.08
i-QTc3V4PEY,mrpregnant,505,Comedy,69,12683,4.28
qkrvYnNpQm4,mrpregnant,541,Comedy,932,160465,4.54
vK4zrqp1yS8,mrpregnant,763,Comedy,419,200489,4.18
utegCEv4qkw,mrpregnant,554,Comedy,300,15817,3.94
ffOY69kjeSU,breLloydvrnsst,1135,Comedy,45,387,1.3
yp-i6L_NRPM,AndaleTheGreat41,1135,Comedy,14,221,1.56
wUsG23QyaCk,davoodnpussy,1135,Comedy,47,251,1.47
mRHGKGRlz-Q,JamesNintendoNerd,1099,Comedy,57,195618,4.86
wKXAEVO4htE,arthurhapsody,870,Entertainment,425,29972,4.77
HUOHibEbzHE,Jirron,845,Music,111,86731,4.69
4RqiI4JdGJE,JamesNintendoNerd,1071,Comedy,37,127743,4.77
LW78tWxjdPA,JamesNintendoNerd,1114,Comedy,54,92279,4.87
Np2JTCX6H40,MasterOfCards,884,Entertainment,200,75198,4.48
h2maEE7yodQ,JamesNintendoNerd,1009,Entertainment,205,168148,4.81
p3KqyCDaH28,fabsbento,1123,Comedy,545,949,5
y_2jJS_BAh8,DukeNukem3DO,1029,Entertainment,324,7895,3.86
cRT3tV9VdbU,cloud8745,1121,People & Blogs,508,6378,4.62
i-6IDRAFUtw,UL05ST,1055,Music,172,4483,4.35
S-6sdlftpv8,DinnerItBurns,1067,Comedy,595,5399,4.6
K8OVhweDZKA,webjunkpoop,910,Comedy,399,20256,4.34
E7OKDwX4Auw,JamesNintendoNerd,969,Comedy,706,175886,4.74
kGpviK7Lu20,vegeta273,876,Comedy,419,21913,4.64
td00Xk6uUD8,vegeta273,906,Comedy,414,10347,4.73
muaTrM7Ouxw,SonicXisnow2009,1095,Entertainment,597,736,5
yYc9bk2muyw,devttt,1135,News & Politics,407,392,4.07
F76IkRohiow,2008freetibet,1131,News & Politics,131,1853,3.53
h8FMNtTw24o,cmforum,1127,News & Politics,178,19946,4.75
TR-ekaXzaWA,Tibetan72,1135,News & Politics,407,100,4.64
Oi0NB6ENnF4,journeymanpictures,996,News & Politics,1044,1856,3.11
huVb7FH87Wk,mayyoubekind,1132,News & Politics,433,807,1.7
vv7jdRswKSM,sonamsam23,1127,News & Politics,250,1420,3.33
ou_b4qq1REU,kgb23lyc,1119,News & Politics,64,1362,3.5
oG21V-JwWYs,UTEEngineer,1128,News & Politics,579,25430,4.27
uqoRF9bu8VI,squishydemon,1127,News & Politics,46,1021,3
uzv-gkiSjEk,TAIYOWHALE,1124,News & Politics,156,20435,3.99
xwGX5Fx7o8E,HHK17,1133,News & Politics,599,211,3.33
EjN3bdvKGiw,NewsRevue,1127,News & Politics,149,1458,3
pcfQ8GA063c,jijtube,1124,News & Politics,130,33998,3.72
qB_YqEk15e0,bharatamata,1126,News & Politics,129,4123,2.82
O3SOfHiaLCc,FreeWingz,538,Comedy,414,1263,4.2
sHwAB4RokrA,agentsmith21,772,Music,241,331,4.67
PHf2g_4TyDY,Bigbrando99,998,Sports,131,4052,4.64
DlEgO89LiIw,live2bshiv,970,Comedy,140,189,1
o3eBdSlQIp4,chaseemery,975,Music,282,1346,4.67
xQv4K2rO0O0,mrules45,962,Entertainment,43,600,2.25
bIP1V1u2q-E,bucksdotcom,1052,Sports,85,9191,5
Y9LbqKVTXMo,seeso,1004,Music,166,7001,4.88
iqHVh0D4e7M,AssociatedPress,1120,News & Politics,82,9092,3.71
zokUPp_nj_c,ksalinda,707,Sports,68,8630,5
16D4DCduxVA,kOrOne79,842,Sports,346,10713,4.74
Rv7tbFPXXmU,newzjim,706,Sports,309,47106,3.85
fUCguV4V6HY,PrestonV20,628,Sports,119,50110,4.07
E9gUcbDcd7E,elgroxo,744,Comedy,268,268631,4.51
ZYryffNvDaU,puprock2975,986,Sports,478,7853,5
AkYFKuGJEsE,puprock2975,987,Sports,460,5734,5
l6-J82_3utA,1EDmanLV,1122,Sports,58,2896,5
GAce3GwmyLg,Brooky217,497,Music,90,3632,4.18
Zs4H9Itl40c,dinxbeau,1104,Sports,150,7962,5
R08Nxax_jsM,xeenslayer,1045,Entertainment,513,1040,4.17
qhAnSGeTpz4,iRespond2U,1135,Comedy,80,210,1.67
mqgY3vx6DCM,1mResponder,1135,Comedy,54,224,1.8
rfwt5veVXEk,supermac18,843,Comedy,66,714699,4.54
4ira1eUOQGY,supermac18,851,Comedy,106,1714836,4.75
RDIIzmusYi0,supermac18,794,Comedy,33,366065,4.47
hYbyDY790nM,supermac18,855,Comedy,94,481660,4.62
0TeHUtyNqDI,supermac18,1048,Comedy,180,254111,4.48
WmyeEX3FG9U,supermac18,922,Comedy,182,218052,4.63
WM1yqH5dBj4,supermac18,1092,Comedy,184,72844,4.63
G6XenDuiyvE,supermac18,809,Comedy,73,223533,4.74
FqvAqb6UyqE,supermac18,862,Comedy,82,440797,4.59
zzlDKaXAIgE,supermac18,942,Comedy,240,181663,4.6
9MdXdTSwfX4,supermac18,825,Comedy,76,401454,4.38
1cSnEPsPr5Q,supermac18,1054,People & Blogs,69,93061,4.48
25CpF-Wudms,supermac18,794,Comedy,37,399838,4.52
dzslyDdYnRI,supermac18,805,Comedy,113,338457,4.55
eYfedzk27zQ,supermac18,863,Comedy,86,192080,4.65
LBTKkAgRkYU,supermac18,844,Comedy,63,82734,4.58
tTy__qMSoR8,supermac18,796,Comedy,55,63544,4.62
lpSTTtV8_Ms,supermac18,859,Comedy,86,166754,4.47
zzCUvBWsgCk,Starsxx21,897,People & Blogs,218,146453,4.43
wF8rPPpmAQc,mileyroxmyworld4ever,879,Music,300,72416,4.7
IU78CciLDh8,Hedda1996,1084,Music,205,1071,5
4z31fXh-UEY,0sonalika0,965,Entertainment,256,752,5
FurZU6V3Uws,lovelifetilldeath,1092,Music,196,296,0
h_8gsd8IT7Y,r4ndybp,983,Music,214,11215,4.99
WlEyuOZ0ZWM,BillabongNL,1097,Music,224,5431,3.67
eEe3p87b-xw,asianarmy,864,Music,116,23125,4.62
nPEOr55j0Fs,kat12923,1010,Music,194,5915,5
fBPaEZ84uJk,qtpiecoco7,941,Music,228,5617,4.88
f9_yEORBJK0,HannahMileyFanatic,998,Music,179,6188,5
OTYqs0EHRIE,shabba57,1071,Entertainment,97,2359,3.9
tNcrmKYGE3k,RoisFan,881,Music,216,30792,4.77
7vVbX2---rQ,IEatDogs342,1042,Music,218,2008,4.6
V7xMLOHYPbA,kat12923,1008,Music,219,52314,4.83
WH56yJudnGs,drexiel8,1040,Music,224,978,4
KRLGnK8Yn9c,715gilmoregirlsfan,1077,Music,213,716,3
wxiYTV6FG9g,mileyfan98,1086,Entertainment,218,1562,4
CFCMSW_SsPY,ChristerD93,863,Music,214,6438,4.44
LO_5wisNs5M,xZashleyFanx,1035,Music,214,1902,5
-17Zbw0e6zs,RosetylerProductions,1061,Entertainment,100,2198,5
VeGFjTGG7A0,JexL92,962,Entertainment,126,5689,3.5
pyD1kaXW2eI,Madrosed,1109,People & Blogs,428,2475,4.44
WNn0ZMEPmD0,stemcellfilms,972,Film & Animation,166,498,3.5
I_vG88ofWk0,XL0v3Dx4l0tX,1129,Film & Animation,214,346,5
GfHs7xrPRsE,MrsxDeanxWinchesterx,1104,Film & Animation,286,370,5
k42l5NGDG94,suchiha13,964,Music,250,568,4.59
p4XI4_K35pY,lions22rule,1109,Film & Animation,221,257,5
